Stocks,MaxROI_ROI,maxROI_DD,minDD_ROI,minDD_DD
AAL,7.9488741927135775,0.436409012692705,0.0,0.0
AAPL,67.76161689647971,0.44617603107348036,2.8101508853649224,0.0
AMZN,46.41258956211645,0.08298786877714207,0.0,0.0
BAC,27.496584587323298,0.17555859553123582,19.234005870763355,0.0
F,58.14683342537829,1.159506452336854,11.624203821656048,0.0
GOOG,37.28905009626586,0.41997792634826947,1.4934984420328818,0.0
IBM,43.583432134153995,0.7857488544900973,5.842136045129967,0.0
INTC,15.85906977910848,0.2432789232899435,1.4092810126582276,0.0
NVDA,253.47252763635555,0.0,253.47252763635555,0.0
XOM,30.20611203209693,0.6053459680500128,0.0,0.0
